authority_text,nrows,removed,added
Fair Labor Standards Act,13,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 3(21),13,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 4044,13,"('act_relative', None, None, None)","('other', None, None, None)"
"Consolidated Appropriations Act of 2018, div. L, title IV, sec. 410",13,"('act_relative', None, None, None)","('other', None, None, None)"
John S. McCain National Defense Authorization Act (NDAA) for Fiscal Year (FY) 2019,13,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 421 of the Trade Facilitation and Trade Enforcement Act of 2015,13,"('act_relative', None, None, None)","('other', None, None, None)"
Consumer Product Safety Act,13,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 307,13,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 211(o),13,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 3621, 3622, 3624, 4001, 4005, 4042, 4045, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 4241 to 4247, 5006 to 5024 (Repealed October 12, 1984)",13,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
sec. 202(h) of the Telecommunications Act,13,"('act_relative', None, None, None)","('other', None, None, None)"
Safe Drinking Water Act sec 1412,13,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1833 of the Social Security Act,13,"('act_relative', None, None, None)","('other', None, None, None)"
8 1252 note,13,"('usc', 8, '1252', None)","('other', None, None, None)"
sec. 403 of the 2018 FAA Reauthorization Act,13,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Civil Penalties Inflation Adjustment Act Improvements Act of 2015,13,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 101,13,"('act_relative', None, None, None)","('other', None, None, None)"
307(e),13,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act 211(k),13,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 211,13,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 11233(b)(2) of the National Capital Revitalization and Self-Government Improvement Act of 1997,12,"('act_relative', None, None, None)","('other', None, None, None)"
"CWA 301, 304, 306, 307",12,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 510,12,"('act_relative', None, None, None)","('other', None, None, None)"
