usc_title,edition_year,usc_section,rin,bucket
49,2002,1324,2105-AA78,4-genuine-era-mismatch
49,2002,1302,2105-AA84,4-genuine-era-mismatch
49,2002,1324,2105-AA84,4-genuine-era-mismatch
49,2002,1301,2105-AA88,4-genuine-era-mismatch
49,2002,1302,2105-AA88,4-genuine-era-mismatch
49,2002,1324,2105-AA88,4-genuine-era-mismatch
49,2002,1301,2105-AB39,4-genuine-era-mismatch
49,2002,1305,2105-AB39,4-genuine-era-mismatch
49,2002,1324,2105-AB39,4-genuine-era-mismatch
40,2002,106,2120-AD45,4-genuine-era-mismatch
49,2002,44932,2120-AD45,4-genuine-era-mismatch
49,2002,44932,2120-AD46,4-genuine-era-mismatch
49,2002,44932,2120-AG51,4-genuine-era-mismatch
18,2002,5006,1120-AA96,4-genuine-era-mismatch
18,2002,5006,1120-AB07,4-genuine-era-mismatch
18,2002,4161,1120-AB11,4-genuine-era-mismatch
18,2002,5006,1120-AB11,4-genuine-era-mismatch
18,2002,4161,1120-AB12,4-genuine-era-mismatch
18,2002,5006,1120-AB12,4-genuine-era-mismatch
18,2002,4161,1120-AB13,4-genuine-era-mismatch
18,2002,5006,1120-AB13,4-genuine-era-mismatch
18,2002,4161,1120-AB18,4-genuine-era-mismatch
18,2002,5006,1120-AB18,4-genuine-era-mismatch
18,2002,5006,1120-AB20,4-genuine-era-mismatch
18,2002,4161,1120-AA03,4-genuine-era-mismatch
18,2002,5006,1120-AA03,4-genuine-era-mismatch
18,2002,5006,1120-AA11,4-genuine-era-mismatch
18,2002,5006,1120-AA15,4-genuine-era-mismatch
18,2002,5006,1120-AA25,4-genuine-era-mismatch
18,2002,5006,1120-AA33,4-genuine-era-mismatch
18,2002,5006,1120-AA39,4-genuine-era-mismatch
18,2002,5006,1120-AA49,4-genuine-era-mismatch
18,2002,5006,1120-AA59,4-genuine-era-mismatch
18,2002,4161,1120-AA62,4-genuine-era-mismatch
18,2002,5006,1120-AA62,4-genuine-era-mismatch
18,2002,5006,1120-AA77,4-genuine-era-mismatch
18,2002,5006,1120-AA81,4-genuine-era-mismatch
18,2002,5006,1120-AA85,4-genuine-era-mismatch
18,2002,4161,1120-AA85,4-genuine-era-mismatch
18,2002,4201,1120-AA85,4-genuine-era-mismatch
18,2002,4161,1120-AA86,4-genuine-era-mismatch
18,2002,5006,1120-AA86,4-genuine-era-mismatch
18,2002,5006,1120-AA88,4-genuine-era-mismatch
18,2002,5006,1120-AA90,4-genuine-era-mismatch
18,2002,5006,1120-AA92,4-genuine-era-mismatch
18,2002,4251,1120-AA95,4-genuine-era-mismatch
18,2002,5006,1120-AA95,4-genuine-era-mismatch
18,2002,5006,1120-AA98,4-genuine-era-mismatch
18,2002,4161,1120-AA99,4-genuine-era-mismatch
18,2002,4201,1120-AA99,4-genuine-era-mismatch
18,2002,5006,1120-AA99,4-genuine-era-mismatch
18,2002,5006,1120-AB04,4-genuine-era-mismatch
18,2002,5006,1120-AB06,4-genuine-era-mismatch
18,2002,4161,1120-AB08,4-genuine-era-mismatch
18,2002,5006,1120-AB08,4-genuine-era-mismatch
18,2002,223,1120-AB09,4-genuine-era-mismatch
18,2002,4161,1120-AB09,4-genuine-era-mismatch
18,2002,5006,1120-AB09,4-genuine-era-mismatch
18,2002,223,1120-AB14,4-genuine-era-mismatch
18,2002,5006,1120-AB14,4-genuine-era-mismatch
18,2002,4161,1120-AB16,4-genuine-era-mismatch
18,2002,5006,1120-AB16,4-genuine-era-mismatch
18,2002,4161,1120-AB17,4-genuine-era-mismatch
18,2002,5006,1120-AB17,4-genuine-era-mismatch
18,2002,4161,1120-AB21,4-genuine-era-mismatch
18,2002,4201,1120-AB21,4-genuine-era-mismatch
18,2002,5006,1120-AB21,4-genuine-era-mismatch
18,2002,5006,1120-AB22,4-genuine-era-mismatch
18,2002,5006,1120-AB23,4-genuine-era-mismatch
18,2002,4161,1120-AB05,4-genuine-era-mismatch
18,2002,5006,1120-AB05,4-genuine-era-mismatch
18,2002,5006,1120-AA23,4-genuine-era-mismatch
18,2002,5006,1120-AA72,4-genuine-era-mismatch
40,2002,333,1218-AB47,4-genuine-era-mismatch
40,2002,333,1218-AB89,4-genuine-era-mismatch
40,2002,333,1218-AB67,4-genuine-era-mismatch
40,2002,333,1218-AB77,4-genuine-era-mismatch
40,2002,333,1218-AC01,4-genuine-era-mismatch
40,2002,333,1218-AB62,4-genuine-era-mismatch
40,2002,333,1218-AB88,4-genuine-era-mismatch
40,2002,486,1291-AA33,4-genuine-era-mismatch
40,2002,486,1291-AA34,4-genuine-era-mismatch
18,2003,5006,1120-AA96,4-genuine-era-mismatch
18,2003,5006,1120-AB07,4-genuine-era-mismatch
18,2003,4161,1120-AB12,4-genuine-era-mismatch
18,2003,5006,1120-AB12,4-genuine-era-mismatch
18,2003,4161,1120-AB13,4-genuine-era-mismatch
18,2003,5006,1120-AB13,4-genuine-era-mismatch
18,2003,4161,1120-AB18,4-genuine-era-mismatch
18,2003,5006,1120-AB18,4-genuine-era-mismatch
18,2003,5006,1120-AB20,4-genuine-era-mismatch
18,2003,4161,1120-AA03,4-genuine-era-mismatch
18,2003,5006,1120-AA03,4-genuine-era-mismatch
18,2003,5006,1120-AA11,4-genuine-era-mismatch
18,2003,5006,1120-AA25,4-genuine-era-mismatch
18,2003,5006,1120-AA33,4-genuine-era-mismatch
18,2003,5006,1120-AA39,4-genuine-era-mismatch
18,2003,5006,1120-AA49,4-genuine-era-mismatch
18,2003,4161,1120-AA62,4-genuine-era-mismatch
18,2003,5006,1120-AA62,4-genuine-era-mismatch
18,2003,5006,1120-AA85,4-genuine-era-mismatch
18,2003,4161,1120-AA85,4-genuine-era-mismatch
18,2003,4201,1120-AA85,4-genuine-era-mismatch
18,2003,4161,1120-AA86,4-genuine-era-mismatch
18,2003,5006,1120-AA86,4-genuine-era-mismatch
18,2003,5006,1120-AA88,4-genuine-era-mismatch
18,2003,5006,1120-AA90,4-genuine-era-mismatch
18,2003,5006,1120-AA92,4-genuine-era-mismatch
18,2003,4251,1120-AA95,4-genuine-era-mismatch
18,2003,5006,1120-AA95,4-genuine-era-mismatch
18,2003,5006,1120-AA98,4-genuine-era-mismatch
18,2003,4161,1120-AA99,4-genuine-era-mismatch
18,2003,4201,1120-AA99,4-genuine-era-mismatch
18,2003,5006,1120-AA99,4-genuine-era-mismatch
18,2003,5006,1120-AB04,4-genuine-era-mismatch
18,2003,4161,1120-AB05,4-genuine-era-mismatch
18,2003,5006,1120-AB05,4-genuine-era-mismatch
18,2003,5006,1120-AB06,4-genuine-era-mismatch
18,2003,4161,1120-AB08,4-genuine-era-mismatch
18,2003,5006,1120-AB08,4-genuine-era-mismatch
18,2003,223,1120-AB09,4-genuine-era-mismatch
18,2003,4161,1120-AB09,4-genuine-era-mismatch
18,2003,5006,1120-AB09,4-genuine-era-mismatch
18,2003,4161,1120-AB11,4-genuine-era-mismatch
18,2003,5006,1120-AB11,4-genuine-era-mismatch
18,2003,223,1120-AB14,4-genuine-era-mismatch
18,2003,5006,1120-AB14,4-genuine-era-mismatch
18,2003,4161,1120-AB16,4-genuine-era-mismatch
18,2003,5006,1120-AB16,4-genuine-era-mismatch
18,2003,4161,1120-AB17,4-genuine-era-mismatch
18,2003,5006,1120-AB17,4-genuine-era-mismatch
18,2003,4161,1120-AB21,4-genuine-era-mismatch
18,2003,4201,1120-AB21,4-genuine-era-mismatch
18,2003,5006,1120-AB21,4-genuine-era-mismatch
18,2003,5006,1120-AB22,4-genuine-era-mismatch
18,2003,5006,1120-AB23,4-genuine-era-mismatch
18,2003,5006,1120-AA81,4-genuine-era-mismatch
18,2003,5006,1120-AA15,4-genuine-era-mismatch
18,2003,5006,1120-AA59,4-genuine-era-mismatch
