eo_number,signing_date,title,fr_citation,provenance,source_file
12765,1991-06-11,Delegation of certain defense related authorities of the President to the Secretary of Defense,"56 FR 27401; June 13, 1991",nara-live,eo-1991.html
12766,1991-06-18,European Bank for Reconstruction and Development and European Space Agency,"56 FR 28463; June 20, 1991",nara-live,eo-1991.html
12767,1991-06-27,"Amendments to the Manual for Courts-Martial, United States, 1984","56 FR 30284; July 1, 1991",nara-live,eo-1991.html
12768,1991-06-28,Extension of the President's Council of Advisors on Science and Technology,"56 FR 30302; July 2, 1991",nara-live,eo-1991.html
12769,1991-07-10,Implementation of section 311(a) of the Comprehensive Anti-Apartheid Act,"56 FR 31855; July 12, 1991",nara-live,eo-1991.html
12770,1991-07-25,Metric usage in Federal Government programs,"56 FR 35801; July 29, 1991",nara-live,eo-1991.html
12771,1991-07-25,Revoking earlier orders with respect to Kuwait,"56 FR 35993; July 29, 1991",nara-live,eo-1991.html
12772,1991-08-17,Waiver under the Trade Act of 1974 with respect to Romania,"56 FR 41621; August 22, 1991",nara-live,eo-1991.html
12773,1991-09-26,Amending Executive Order No. 10480,"56 FR 49387; September 30, 1991",nara-live,eo-1991.html
12774,1991-09-27,Continuance of certain Federal advisory committees,"56 FR 49835; October 1, 1991",nara-live,eo-1991.html
12775,1991-10-04,Prohibiting Certain transactions with respect to Haiti,"56 FR 50641; October 7, 1991",nara-live,eo-1991.html
12776,1991-10-08,Extending the National Defense Service Medal to members of the Reserve components of the Armed Forces of the United States During the period of the Persian Gulf crisis,"56 FR 51315; October 10, 1991",nara-live,eo-1991.html
12777,1991-10-18,"Implementation of section 311 of the Federal Water Pollution Control Act of October 18, 1972, as amended, and the Oil Pollution Act of 1990","56 FR 54757; October 22, 1991",nara-live,eo-1991.html
12778,1991-10-23,Civil Justice Reform,"56 FR 55195; October 25, 1991",nara-live,eo-1991.html
12779,1991-10-28,Prohibiting certain transactions with respect to Haiti,"56 FR 55975; October 30, 1991",nara-live,eo-1991.html
12780,1991-10-31,Federal agency recycling and the Council on Federal Recycling and Procurement Policy,"56 FR 56289; November 4, 1991",nara-live,eo-1991.html
12781,1991-11-20,"Delegation of functions and authorities, development of requirements and regulations, and correction of title","56 FR 59203; November 22, 1991",nara-live,eo-1991.html
